File Name,Address,Total Roof Area (sq ft),Total Ridges/Hips (ft),Total Valleys (ft),Total Rakes (ft),Total Eaves (ft),Predominant Pitch
2 banbury.PDF,"2 Banbury Rd, Lumberton, NJ 08048",3711,138,113,235,216,8/12
10 hideaway ln.PDF,"10 Hideaway Ln, Egg Harbor Township, NJ 08234",3018,101,52,210,174,7/12
126 Rittenhouse dr.PDF,"126 Rittenhouse Dr, Deptford, NJ 08096",1561,26,1,77,60,7/12
15 box turtle.PDF,"15 Box Turtle Lane, Sicklerville, NJ 08081",3416,128,154,271,87,8/12
20 box turtle sicklerville.PDF,"20 Box Turtle Ln, Sicklerville, NJ 08081",2699,101,68,189,127,8/12
220 tallowood dr.PDF,"220 Tallowood Dr, Egg Harbor Township, NJ 08234",2198,74,54,154,116,7/12
23 banbury.PDF,"23 Banbury Rd, Lumberton, NJ 08048",3490,114,96,221,180,7/12
30 burgundy dr.PDF,"30 Burgundy Dr, Marlton, NJ 08053",1103,54,24,103,87,6/12
31 calvert.PDF,"31 Calvert Ln, Lumberton, NJ 08048",3143,174,91,133,203,8/12
324 upas copy.PDF,"324 Upas Ave, Galloway, NJ 08205",1585,58,31,129,101,6/12
324 upas.PDF,"324 Upas Ave, Galloway, NJ 08205",1585,58,31,129,101,6/12
36 banbury.PDF,"36, Banbury Rd, NJ 08048",3748,186,114,161,211,12/12
"415 Dogwood Ave Egg Harbor, NJ 08234.PDF","415 Dogwood Ave, Egg Harbor, NJ 08234",3087,116,70,223,174,7/12
422 yam.PDF,"422a S Yam Ave, Galloway, NJ 08205",2033,88,32,147,169,12/12
46 charleston dr sicklerville.PDF,"46 Charleston Dr, Sicklerville, NJ 08081",1950,69,38,130,104,6/12
47 sherwood ln willingboro.PDF,"47 Sherwood Ln, Willingboro, NJ 08046",2166,98,22,87,152,5/12
522 8th ave galloway.PDF,"522 8th Ave, Galloway, NJ 08205",2686,77,43,228,117,10/12
55 Jasmine rd.PDF,"55 Jasmine Rd, Lumberton, NJ 08048",3642,132,118,273,176,7/12
7 jerrys ct sicklerville nj.PDF,"7 Jerrys Ct, Sicklerville, NJ 08081",1703,61,37,151,108,7/12
711 shelbourne ave absecon.pdf,"711 Shelbourne Ave, Absecon, NJ 08201",3160,101,39,110,159,5/12
9 black oak ct copy.PDF,"9 Black Oak Ct, Monroe, NJ 08831",3133,117,96,232,123,9/12
9 black oak ct.PDF,"9 Black Oak Ct, Monroe, NJ 08831",3133,117,96,232,123,9/12
9 emerson.PDF,"9 Emerson Ln, Hainesport, NJ 08036",2814,215,48,17,270,7/12
9 mallard crest ct.PDF,"9 Mallard Crest Ct, Sicklerville, NJ 08081",2708,104,95,212,115,7/12
917 howe dr turnersville.PDF,"917 Howe Dr, Turnersville, NJ 08201",1810,56,0,102,112,5/12
